Filename,Time (seconds),Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
mhwgo.mp3,10.77406,0.4932,0.0238,1.0000,0.2609,0.1830,0.0025,0.1391,0.0379,0.0401,0.2120,0.0232,0.1153
mhwgo.mp3,10.95982,0.2459,0.0582,1.0000,0.0954,0.2246,0.0204,0.6299,0.1550,0.0160,0.1080,0.2043,0.2009
mhwgo.mp3,11.14558,0.0895,0.3038,0.6477,0.1876,0.1554,0.0207,1.0000,0.0720,0.0046,0.0784,0.2319,0.1822
mhwgo.mp3,11.33134,0.0457,0.2444,0.3970,0.1399,0.2603,0.1465,1.0000,0.1418,0.0013,0.8732,0.2690,0.0643
mhwgo.mp3,11.51710,0.0642,0.0950,0.4520,0.0076,0.3075,0.1909,0.5338,0.2204,0.0000,1.0000,0.1285,0.1354
mhwgo.mp3,11.70286,0.0041,0.0431,0.8333,0.1404,0.2672,0.0879,0.0959,0.0853,0.0304,1.0000,0.1327,0.1349
mhwgo.mp3,11.88862,0.0012,0.1075,1.0000,0.2526,0.2811,0.0895,0.4023,0.1132,0.0048,0.7932,0.2830,0.1635
mhwgo.mp3,12.07438,0.0090,0.1266,1.0000,0.2164,0.0000,0.2530,0.6459,0.1380,0.1827,0.2220,0.0953,0.1858
mhwgo.mp3,12.26014,0.0090,0.1860,0.7931,0.0055,0.2115,0.2276,1.0000,0.0507,0.2460,0.2415,0.1502,0.2387
mhwgo.mp3,12.44590,0.1067,0.2110,1.0000,0.0368,0.1129,0.2015,0.9284,0.0225,0.1365,0.5207,0.1644,0.0191
mhwgo.mp3,12.63166,0.0316,0.1560,0.2392,0.0888,0.0398,0.3269,0.0387,1.0000,0.1943,0.0203,0.1050,0.1942
mhwgo.mp3,12.81741,0.0332,0.1164,0.1502,0.0276,0.1405,0.1186,0.0676,1.0000,0.0825,0.0580,0.0832,0.1288
mhwgo.mp3,13.00317,0.0824,0.0652,0.1853,0.1737,0.2170,0.0000,0.0673,1.0000,0.0404,0.7397,0.1867,0.1162
mhwgo.mp3,13.18893,0.0886,0.0064,0.1922,0.1692,0.2903,0.0404,0.1197,0.4360,0.1570,1.0000,0.1833,0.0988
mhwgo.mp3,13.37469,0.1003,0.0460,0.0000,0.0103,1.0000,0.1332,0.0127,0.0528,0.0811,0.9103,0.0626,0.0862
mhwgo.mp3,13.56045,0.2916,0.0134,0.0000,0.0583,1.0000,0.0852,0.0917,0.0379,0.0444,0.6905,0.1444,0.2340
mhwgo.mp3,13.74621,0.0651,0.1134,0.0930,0.0166,0.4220,0.1459,0.1138,0.0798,0.0400,0.3674,0.0562,1.0000
mhwgo.mp3,13.93197,0.0865,0.0096,0.0820,0.0652,0.3438,0.0925,0.1036,0.0161,0.0881,0.0465,0.0599,1.0000
mhwgo.mp3,14.11773,0.0100,0.0611,0.0794,0.0000,0.5309,0.0710,0.0531,0.0313,0.0598,0.0089,0.0483,1.0000
mhwgo.mp3,14.30349,0.0093,0.0515,0.1038,0.0161,0.6304,0.0495,0.0510,0.0863,0.1068,0.0919,0.0171,1.0000
mhwgo.mp3,14.48925,0.0054,0.0394,0.0519,0.0750,0.2897,0.0097,0.0977,0.0661,0.0430,0.0161,0.0352,1.0000
mhwgo.mp3,14.67501,0.0819,0.0085,0.0391,0.0543,0.1546,0.0645,0.0397,0.2759,0.0628,0.0130,0.0152,1.0000
mhwgo.mp3,14.86077,0.1309,0.0173,0.0409,0.1404,0.1026,0.0454,0.0532,0.5681,0.0541,0.0344,0.0082,1.0000
mhwgo.mp3,15.04653,0.0463,0.0524,0.0962,0.0914,0.0733,0.1200,0.0372,1.0000,0.0473,0.0020,0.0216,0.8824
mhwgo.mp3,15.23229,1.0000,0.0835,0.1162,0.0956,0.3173,0.0000,0.0978,0.7810,0.0581,0.1376,0.0455,0.3909
mhwgo.mp3,15.41805,1.0000,0.0720,0.2095,0.0687,0.0397,0.2604,0.1709,0.4519,0.1995,0.0000,0.1429,0.7565
mhwgo.mp3,15.60381,0.5868,0.0305,0.1972,0.0580,0.2943,0.0699,0.3230,0.2459,0.2688,0.1626,0.0354,1.0000
mhwgo.mp3,15.78957,0.0209,0.1375,0.1294,0.2616,0.2105,0.0767,0.3231,0.3770,0.5353,0.2466,0.1433,1.0000
mhwgo.mp3,15.97533,0.0529,0.0113,1.0000,0.0828,0.2032,0.0000,0.1892,0.3048,0.0538,0.5345,0.1627,0.2439
